Code,Libellé
A01,"Culture et production animale, chasse et services annexes"
A02,Sylviculture et exploitation forestière
A03,Pêche et aquaculture
B05,Extraction de houille et de lignite
B06,Extraction d'hydrocarbures
B07,Extraction de minerais métalliques
B08,Autres industries extractives
B09,Services de soutien aux industries extractives
C10,Industries alimentaires
C11,Fabrication de boissons
C12,Fabrication de produits à base de tabac
C13,Fabrication de textiles
C14,Industrie de l'habillement
C15,Industrie du cuir et de la chaussure
C16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
C17,Industrie du papier et du carton
C18,Imprimerie et reproduction d'enregistrements
C19,Cokéfaction et raffinage
C20,Industrie chimique
C21,Industrie pharmaceutique
C22,Fabrication de produits en caoutchouc et en plastique
C23,Fabrication d'autres produits minéraux non métalliques
C24,Métallurgie
C25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
C26,"Fabrication de produits informatiques, électroniques et optiques"
C27,Fabrication d'équipements électriques
C28,Fabrication de machines et équipements n.c.a.
C29,Industrie automobile
C30,Fabrication d'autres matériels de transport
C31,Fabrication de meubles
C32,Autres industries manufacturières
C33,Réparation et installation de machines et d'équipements
D35,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
E36,"Captage, traitement et distribution d'eau"
E37,Collecte et traitement des eaux usées
E38,"Collecte, traitement et élimination des déchets ; récupération"
E39,Dépollution et autres services de gestion des déchets
F41,Construction de bâtiments
F42,Génie civil
F43,Travaux de construction spécialisés
G45,Commerce et réparation d'automobiles et de motocycles
G46,"Commerce de gros, à l'exception des automobiles et des motocycles"
G47,"Commerce de détail, à l'exception des automobiles et des motocycles"
H49,Transports terrestres et transport par conduites
H50,Transports par eau
H51,Transports aériens
H52,Entreposage et services auxiliaires des transports
H53,Activités de poste et de courrier
I55,Hébergement
I56,Restauration
J58,Édition
J59,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
J60,Programmation et diffusion
J61,Télécommunications
J62,"Programmation, conseil et autres activités informatiques"
J63,Services d'information
K64,"Activités des services financiers, hors assurance et caisses de retraite"
K65,Assurance
K66,Activités auxiliaires de services financiers et d'assurance
L68,Activités immobilières
M69,Activités juridiques et comptables
M70,Activités des sièges sociaux ; conseil de gestion
M71,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques
M72,Recherche-développement scientifique
M73,Publicité et études de marché
M74,"Autres activités spécialisées, scientifiques et techniques"
M75,Activités vétérinaires
N77,Activités de location et location-bail
N78,Activités liées à l'emploi
N79,"Activités des agences de voyage, voyagistes, services de réservation et activités connexes"
N80,Enquêtes et sécurité
N81,Services relatifs aux bâtiments et aménagement paysager
N82,Activités administratives et autres activités de soutien aux entreprises
O84,Administration publique et défense ; sécurité sociale obligatoire
P85,Enseignement
Q86,Activités pour la santé humaine
Q87,Hébergement médico-social et social
Q88,Action sociale sans hébergement
R90,"Activités créatives, artistiques et de spectacle"
R91,"Bibliothèques, archives, musées et autres activités culturelles"
R92,Organisation de jeux de hasard et d'argent
R93,"Activités sportives, récréatives et de loisirs"
S94,Activités des organisations associatives
S95,Réparation d'ordinateurs et de biens personnels et domestiques
S96,Autres services personnels
T97,Activités des ménages en tant qu'employeurs de personnel domestique
T98,Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
U99,Activités des organisations et organismes extraterritoriaux
